scenario,classifier,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max,ngram,vectorizer
User,Random Forest,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",0.837214942832005,0.0006203940656079204,0.8036546040845575,0.8724471515585811,0.6754439999683663,0.002833493698448659,0.6287425149700598,0.7661691542288557,0.6326967403476208,0.009317836272954688,0.465288035450517,0.6942392909896603,0.6510059682735199,0.005013988477267956,0.534804753820034,0.7218749999999999,0.8942779528513572,0.0008733574453752377,0.8569007488935688,0.9369966559016418,N/A,N/A
User,SVC,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",0.8071938147483879,0.0007587018637739349,0.7832318165532067,0.853099247581512,0.5810876204031732,0.0027175563824945875,0.5371900826446281,0.6704980842911877,0.7596388718230263,0.005996930733619213,0.6322008862629247,0.8436578171091446,0.6564158917964364,0.0022328985971267834,0.592797783933518,0.7191780821917808,0.8684195459737026,0.0008217915579997556,0.8291501825768703,0.9001993462727906,N/A,N/A
User,Logistic Regression,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",0.7922901744144862,7.797632628624734e-05,0.7789322823360803,0.8025797205302759,0.6799748428294548,0.002556816028969446,0.6393805309734514,0.7602339181286549,0.286077741903156,0.010665095054003442,0.18463810930576072,0.42688330871491875,0.3915070189513826,0.008981242316267641,0.28835063437139563,0.5119574844995571,0.8713842651459209,0.0004212002741955521,0.8490124918074482,0.9048926828109431,N/A,N/A
User,KNN,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",0.8269688745753594,0.0002542293117466029,0.8104621999283411,0.8534575420996059,0.6430948617532704,0.0020171189618763533,0.598404255319149,0.7100313479623824,0.6595482411994614,0.006041727193003256,0.534711964549483,0.7492625368731564,0.6478757832997372,0.0014448540535914622,0.5924713584288052,0.6889733840304183,0.8759441398298412,0.0011709299613940189,0.8229741513634223,0.9166951979418354,N/A,N/A
User,XGBoost,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo",0.8440932479449398,0.0004719796834521863,0.8222859190254389,0.8806879254747403,0.6832051318164509,0.0023424420647809854,0.6478149100257069,0.7679127725856698,0.6713720517814583,0.007842582026741202,0.5228951255539144,0.7433628318584071,0.6745323652394456,0.003300281748495631,0.5880398671096346,0.7475360121304019,0.907959944633105,0.0005568496049912487,0.8799806872380654,0.9454065112795194,N/A,N/A
UserMetaFeature,Random Forest,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8334175085903421,0.0003743882179190703,0.8133285560730921,0.8638480831243281,0.6834538479657841,0.003010720636754557,0.6479338842975206,0.780718336483932,0.5904733271460504,0.006495008731010815,0.45937961595273263,0.6696165191740413,0.6305911943804002,0.0030852583265967796,0.5441819772528433,0.6849087893864014,0.8990042707603729,0.0006298933414977479,0.8674703635746217,0.9363831752584235,N/A,N/A
UserMetaFeature,SVC,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8118503088621942,0.0005906501119932162,0.7860981726979577,0.8487997133643855,0.5964537367232193,0.0027699449353519013,0.5581395348837209,0.6845151953690304,0.712687851574925,0.008043950928791403,0.5672082717872969,0.8053097345132744,0.6465907954705384,0.0025582358780461795,0.5626373626373626,0.6915204678362573,0.8658615927137457,0.0007470838749690011,0.8275825928011751,0.8943426324328628,N/A,N/A
UserMetaFeature,Logistic Regression,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8074793980652096,0.00010345538901595624,0.7921891795055536,0.8169115012540308,0.685235992363652,0.0032421814633799904,0.626984126984127,0.7804054054054054,0.39530420081654705,0.00729936520537529,0.27326440177252587,0.46755162241887904,0.49456249091718735,0.004278618536018196,0.38947368421052636,0.5522648083623694,0.8699907653068484,0.000317200958031733,0.8505018243712523,0.8989391955438106,N/A,N/A
UserMetaFeature,KNN,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8218101521571075,0.00024149607460951307,0.8072375492654963,0.8477248298101039,0.6424209539009974,0.001961871556198999,0.5953360768175583,0.7114093959731543,0.6117301298893696,0.006000712086338124,0.4977843426883309,0.7079646017699115,0.6234307689791214,0.0016947773962239412,0.5659109991603695,0.6661429693637078,0.8760630107992273,0.0004035751899524348,0.8606221588090371,0.9086057080251374,N/A,N/A
UserMetaFeature,XGBoost,"qtd_friends, qtd_reviews, qtd_photos, rating, user_has_photo, punctuation_count, capital_count, word_count",0.8405101487692225,0.00044888162164614617,0.8172697957721247,0.8742386241490505,0.6786972340437225,0.0026013734144113856,0.6407766990291263,0.7680921052631579,0.6571901020901688,0.008492045565130758,0.5022156573116692,0.7477876106194691,0.6645535965951016,0.0034192349988569726,0.5714285714285714,0.7268482490272372,0.9075745097265442,0.00041706423182744686,0.8838509256011481,0.9399823082803118,N/A,N/A
