classifier,vectorizer,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max
Random Forest,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8060471439615053,3.6495673159620326e-05,0.7982801863131495,0.8151200286635615,0.6053224972558992,0.00023188584824130815,0.5943708609271523,0.6313213703099511,0.5783750103484486,0.000968815498451958,0.5302806499261448,0.6150442477876106,0.591113118569232,0.00031134033918893937,0.5604996096799375,0.6052249637155298,0.8482666923129699,5.6427411524690166e-05,0.8371030717353118,0.8574321293368121
Logistic Regression,TF-IDF,"qtd_friends, qtd_reviews, word_count",0.8493949031834827,5.761143677503222e-05,0.8416338230025081,0.8613400214976711,0.7416602937038335,0.0003731955660768155,0.7296786389413988,0.7756653992395437,0.5822268118499541,0.0004615449451722094,0.55096011816839,0.6026587887740029,0.6522423414579912,0.000372145175652187,0.627946127946128,0.6783042394014962,0.8894460866408167,6.48737245325359e-05,0.8790402032451589,0.8965432671547495
KNN,TF-IDF,"qtd_reviews, qtd_photos",0.7686466374213471,2.275862167575749e-05,0.7643266475644699,0.7753493371551415,0.5281723467491674,0.00011267003342612232,0.5165562913907285,0.5428082191780822,0.4348792826237566,0.002112264987200597,0.3707533234859675,0.47345132743362833,0.476037795924203,0.0009172958253955779,0.435385949696444,0.5027755749405234,0.7173336161665385,0.00010418565011291288,0.7076010111949735,0.7287570099596277
XGBoost,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8730383118476395,4.0307833407195366e-05,0.8667144392690792,0.8799713364385525,0.786838059223054,0.0001743365747321108,0.7718360071301248,0.8042704626334519,0.6539666148154926,0.00046685884500583766,0.6262924667651403,0.6809453471196455,0.7141678648180594,0.0002746995706953969,0.6973684210526315,0.7334924423229913,0.9225248094921877,2.5376540862926043e-05,0.917587469902416,0.9283628179045164
Random Forest,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.7964456208504823,4.808113514227258e-05,0.7864564672160516,0.8022922636103151,0.579650617228997,0.00018139240103647055,0.5616438356164384,0.592375366568915,0.5857574846516168,0.0006817219504889117,0.5450516986706057,0.6150442477876106,0.5825781820727178,0.0003489616049379713,0.553223388305847,0.5978494623655914,0.8376736580771007,8.756334512262846e-05,0.823830089618482,0.8487434826415721
Logistic Regression,BoW,"qtd_friends, qtd_reviews, word_count",0.835781431104276,1.9505503917986603e-05,0.8308849874596919,0.8419921175206019,0.6708744766377629,0.0001280842958583231,0.6564885496183206,0.6809815950920245,0.6350744870437424,0.00024762514451606677,0.6115214180206795,0.6558345642540621,0.6523661742226285,9.972034563363794e-05,0.6438569206842923,0.6681715575620767,0.8645785062816274,6.631108771773043e-05,0.8533369334371503,0.8724495776157266
KNN,BoW,"qtd_reviews, qtd_photos",0.7287387365652388,1.1510747900656574e-05,0.7242120343839542,0.7323539949838768,0.46155090647245645,1.4263178891162472e-05,0.45627376425855515,0.4657534246575342,0.7062217051628955,0.00024535073689278396,0.689807976366322,0.7315634218289085,0.558186611201018,2.4831072593180917e-05,0.5523358959195742,0.5652421652421652,0.7857058487632139,5.928147831457504e-05,0.778910799355496,0.7983035653147268
XGBoost,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8706738246861843,3.5614876192792896e-05,0.8624149050519527,0.876432664756447,0.7751077619523348,0.00032266698026777146,0.7487266553480475,0.7978533094812165,0.6583979294388309,0.0002693879372204602,0.6366322008862629,0.6809453471196455,0.7118672867604902,0.000176181250718868,0.6966824644549763,0.7277032359905288,0.9229450885212775,3.857642018579671e-05,0.9162368868311551,0.9318037309125768
Random Forest,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8301924729405508,2.9809323908484655e-05,0.8248567335243553,0.8391833810888252,0.7146482851276172,0.0002359039817913786,0.702258726899384,0.738045738045738,0.4998505466159484,0.0002441039854873494,0.4823008849557522,0.523598820058997,0.5881950003575132,0.00022117359486502065,0.5721784776902887,0.6125970664365833,0.8739442690300907,6.989219266326771e-06,0.870384396629909,0.8765307320263448
Logistic Regression,Word2Vec,"qtd_friends, qtd_reviews, word_count",0.7918606573113127,7.665491072198497e-06,0.7878896452884271,0.7946972411322106,0.6549415087351185,0.0001437473310388423,0.6340694006309149,0.6645367412140575,0.3008588123031072,0.00012651225865609587,0.2861356932153392,0.31610044313146235,0.4122225591125518,0.00013431870480468003,0.39876670092497424,0.4275724275724276,0.7954075366946827,3.0748842614537387e-05,0.7900484775478661,0.8046427488404657
KNN,Word2Vec,"qtd_reviews, qtd_photos",0.7803251651080684,1.3050599120827431e-05,0.7767825152275171,0.7847421203438395,0.5739225097728686,0.00010299089683632389,0.5636792452830188,0.5853658536585366,0.36728626641046086,0.0003003806337194895,0.3466076696165192,0.3893805309734513,0.44781067461352925,0.00023571091625487815,0.43079743354720446,0.4676705048715677,0.762313503725056,2.936594273467117e-05,0.754316374343373,0.767653764899267
XGBoost,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8269680789356701,2.169988105921598e-05,0.8190612683625941,0.830945558739255,0.6826074658081819,8.835222189343684e-05,0.666023166023166,0.688212927756654,0.5361568258366993,0.0003669684139754648,0.5096011816838996,0.556047197640118,0.6004959035427208,0.00022203084309008796,0.5774058577405858,0.6150081566068516,0.873204602033572,3.3960275737809186e-05,0.8642761417517597,0.8806258599085184
