classifier,vectorizer,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max
Random Forest,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.7454520314567218,3.210438769517496e-05,0.7396602025055775,0.7535610090955895,0.6827293861335602,3.0435356639634758e-05,0.6782431052093973,0.6920676202860858,0.9172096259378296,4.5652760952504075e-05,0.9117748026089941,0.9282772820864791,0.7827689902725539,1.8938411350093444e-05,0.7778591301801142,0.7875110979579758,0.8399305450136663,2.840595522768988e-05,0.8329086991054466,0.8459803531420578
Logistic Regression,TF-IDF,"qtd_friends, qtd_reviews, word_count",0.8185965742650355,3.404809259917497e-05,0.8111912118091315,0.8258108803844174,0.822180531076272,0.0002116730881261874,0.813126079447323,0.8479296445584463,0.8135516338492559,0.00017937431059499972,0.7940974605353466,0.8263555250514756,0.8176790063589905,2.5523997792503863e-05,0.8106060606060606,0.8222222222222223,0.8998382140493311,1.733746896801673e-05,0.8961257636347073,0.9060094608199675
KNN,TF-IDF,"qtd_reviews, qtd_photos",0.7022378747418634,0.00011975095840462976,0.6859447400034323,0.7159773468337052,0.7275385455253367,9.18368472842826e-05,0.7168,0.7388994307400379,0.6465305104022132,0.00038652783687158907,0.6149622512010982,0.6681537405628003,0.6845696958911828,0.00020446626963616354,0.6619874399704471,0.7017480627140025,0.7467934516104305,7.233793104752871e-05,0.7338578322955742,0.7572096518553023
XGBoost,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8529551372268177,6.165486616196635e-05,0.844688518963446,0.8632229277501288,0.8406518328974488,8.362593174392393e-05,0.8289646133682831,0.8517287234042553,0.8710786922797269,5.774030440367632e-05,0.861015785861359,0.8795056642636457,0.8555803374908744,5.6190727818243494e-05,0.848281642917016,0.8653943590609694,0.9336833246616971,1.407136582148049e-05,0.9291024561817834,0.9381917756319681
Random Forest,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.7330953642121141,2.5281933975624305e-05,0.7243864767461816,0.7367427492706367,0.6694971574377019,2.0173171088861477e-05,0.6619578686493185,0.673479687105728,0.9207794043740682,1.5368032928247046e-05,0.9162375557844147,0.9248455730954015,0.7752788786254057,1.384865781423736e-05,0.7688543465745538,0.7784517619872906,0.8357315867547307,2.8562764090179846e-05,0.8271388217587078,0.8405975885912229
Logistic Regression,BoW,"qtd_friends, qtd_reviews, word_count",0.8099470597796602,1.9559321548631675e-05,0.8041874034666209,0.8158572164063841,0.792628346870947,2.124692850247341e-05,0.7856221792392005,0.7978000647039792,0.8395682997266178,5.6534414120296876e-05,0.8280123583934088,0.8462594371997255,0.815407094261975,2.10756717053317e-05,0.8103075644222778,0.8213155703580349,0.8899427280416402,2.1868946022560576e-05,0.8855710597018407,0.8973162692693465
KNN,BoW,"qtd_reviews, qtd_photos",0.7200177906853231,1.3979762862040019e-05,0.7158057319375322,0.7259310108117385,0.6643817863020478,9.837646428221628e-06,0.660536398467433,0.668629961587708,0.8892701663265588,1.9024006782908412e-05,0.8840082361015786,0.8960192175703501,0.7605460500477241,9.708342816538297e-06,0.757469244288225,0.765801437160874,0.7816107422441981,4.222820866859678e-05,0.7729429222719184,0.789583343641419
XGBoost,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8592709012126803,2.101802029236924e-05,0.8536124935644414,0.8640810022309936,0.8467745632484359,3.694267285177494e-05,0.8390918065153011,0.8530979347101932,0.877325392219716,7.536743237223069e-06,0.8740130449708204,0.880576527110501,0.8617741520723033,1.7517721120435855e-05,0.8567109020661852,0.8663065496286292,0.9386322753277222,8.131977193438476e-06,0.9349017137212602,0.9427530741067719
Random Forest,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.7960456581637466,2.3232439134493644e-05,0.7902506007552351,0.803157714089583,0.756548212315546,4.382306195437397e-05,0.7493364789147744,0.7669286577992744,0.8731377412357121,2.328253003897248e-06,0.8709234466186062,0.8747426218256692,0.8106574889642548,1.2542771796732133e-05,0.8061548223350253,0.815624497669185,0.8736598746088052,3.0712400920827875e-05,0.8656363527301469,0.879898549587547
Logistic Regression,Word2Vec,"qtd_friends, qtd_reviews, word_count",0.7162765800574065,4.5065111098230147e-05,0.7079114467135748,0.7255877810193925,0.7071711028036433,1.321519240893082e-05,0.7038258575197889,0.7127590673575129,0.7381756361149143,0.0002275526629675405,0.7161002403020941,0.7555784414692757,0.7222997497826869,7.723685201883548e-05,0.7102485529451821,0.7335444092651223,0.7886038854027657,6.21246294303297e-05,0.7760867019568398,0.7976736005330518
KNN,Word2Vec,"qtd_reviews, qtd_photos",0.7243081100675377,2.6786004332964567e-05,0.7167868177136972,0.7309078428007552,0.7452815233535605,4.442496600608689e-05,0.7343228200371058,0.751589973812196,0.6816091027818638,2.8324776183225432e-05,0.6755921730175077,0.6896670099553724,0.7120136504434166,2.5837407134988185e-05,0.7057774607703282,0.7192982456140352,0.7911094066395407,4.541378903859941e-05,0.7829699457985669,0.798677725887856
XGBoost,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8045237227106246,2.6533920934622085e-05,0.7986611740473738,0.8093358503518105,0.7911068253169897,4.0458378486588104e-05,0.7842242503259452,0.7986018641810919,0.8276237141104852,2.5802958143810364e-05,0.8232063165121868,0.8349347975291695,0.8089421437701496,2.227440705813923e-05,0.8034846707991288,0.8141207963861469,0.8842987351749307,2.5989033675912114e-05,0.8791557761182545,0.8904813605070967
