classifier,vectorizer,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max
Random Forest,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.813399466934108,0.0007120990003197601,0.7813884785819794,0.8450184501845018,0.7592710697142542,0.0004623347231671535,0.7343565525383707,0.7823458282950423,0.9182058622327377,0.001957184858887789,0.843426883308715,0.9556868537666174,0.8308527050841132,0.0006882212614650936,0.7941585535465925,0.860372340425532,0.8761934460381158,0.000887996371813137,0.834186795947889,0.9128529910284398
Logistic Regression,TF-IDF,"qtd_friends, qtd_reviews, word_count",0.7085930439806614,0.00015735641188644153,0.6915129151291513,0.7225092250922509,0.7040221128793158,0.0001537340625627943,0.6873278236914601,0.7177914110429447,0.7204084478198542,0.0012223093286827713,0.6755162241887905,0.7562776957163959,0.7117032517912151,0.00030536451151755094,0.6866566716641679,0.7283072546230441,0.7871775675871072,0.00021371610730960567,0.7669376870890577,0.8009677433410456
KNN,TF-IDF,"qtd_reviews, qtd_photos",0.6972166111616802,0.0011761363851524062,0.6425406203840472,0.7225092250922509,0.8445427258163019,0.001622696685801159,0.7893518518518519,0.8849104859335039,0.4833061005738487,0.004389882066591395,0.3663220088626292,0.5302806499261448,0.6128228768785021,0.003786127281671084,0.5061224489795918,0.6539162112932605,0.7826326351558555,0.0012580396095128654,0.730246176872945,0.8152507810355419
XGBoost,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8104460202652248,0.000740821485414703,0.7717872968980798,0.8383763837638376,0.8067702435346545,0.0004092151155630764,0.7866043613707165,0.8299418604651163,0.8160577421645904,0.0019326063951395796,0.7459379615952733,0.8567208271787297,0.8111268899159049,0.0009179101840157797,0.7657316148597422,0.8411892675852067,0.8848731203772411,0.0006609185064220959,0.8498633077985465,0.9122102979046025
Random Forest,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8125148391808882,0.0005596363888620881,0.7880354505169868,0.844280442804428,0.7556467575827407,0.00038332085150019336,0.7330210772833724,0.7787081339712919,0.9241155889029773,0.0012670918858951536,0.8655834564254062,0.9615952732644018,0.8312111678075647,0.0005012712789402427,0.8032899246058945,0.8605419695968275,0.8770135612738311,0.0008215803729748676,0.8381588335016985,0.912856258959578
Logistic Regression,BoW,"qtd_friends, qtd_reviews, word_count",0.6995855385437163,5.3408233395543554e-05,0.6915129151291513,0.7070110701107011,0.6911797895489766,0.00019682375564811032,0.6742627345844504,0.7037037037037037,0.7227692012740574,0.00025461219752540487,0.700589970501475,0.7429837518463811,0.7063865428016509,1.777147700008912e-05,0.7021433850702143,0.7125271542360608,0.7646981260920176,0.00012134255951597076,0.7490994460311261,0.7761162163457559
KNN,BoW,"qtd_reviews, qtd_photos",0.8066075097974021,0.0008093295534709508,0.7658788774002954,0.8376383763837638,0.7614764190901493,0.000265852002764368,0.7436208991494532,0.7810578105781057,0.8928131658409694,0.0038464420164082257,0.7843426883308715,0.9379615952732644,0.8212078330607364,0.0010338741860857733,0.7701232777374909,0.8523489932885905,0.8594511390746472,0.0010950917153240034,0.8133644172635813,0.9013618558363072
XGBoost,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.805871246600206,0.0005020267508489161,0.7776957163958641,0.8280442804428044,0.8125405269949088,0.00020455854534905056,0.7990867579908676,0.8286558345642541,0.7948000679729678,0.0014581901440385773,0.7385524372230429,0.827433628318584,0.8033757267166948,0.0006689258600157689,0.768639508070715,0.8280442804428045,0.8817648599361496,0.00048746044450997245,0.8534807965457128,0.9042082238576402
Random Forest,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8172372143219218,0.0008003557049010594,0.7821270310192023,0.8523985239852399,0.7839746239186149,0.0004086267762200913,0.7604562737642585,0.8053777208706786,0.8756966139876168,0.002422311586334695,0.7961595273264401,0.9290989660265879,0.8269101541068713,0.0008958629102071094,0.7851420247632921,0.8628257887517147,0.8782705079927675,0.0007834853972751472,0.837760647918853,0.9088051136586449
Logistic Regression,Word2Vec,"qtd_friends, qtd_reviews, word_count",0.7880113589909903,0.00013799401784183143,0.7769571639586411,0.8014760147601476,0.7344976250328574,0.00013537570860008323,0.7185697808535179,0.7503059975520195,0.9025707724953487,0.0005699670468670029,0.8670605612998523,0.9276218611521418,0.809739204483394,0.00012996635517024003,0.7953929539295392,0.822527832351015,0.8571821760297127,0.00043611582433851167,0.8322788808860887,0.8800582127466743
KNN,Word2Vec,"qtd_reviews, qtd_photos",0.814281914458731,0.0011525554428895013,0.759970457902511,0.8420664206642067,0.8047867514157169,0.0004422219224049044,0.7859116022099447,0.8330935251798561,0.8293312069994728,0.004365324842456678,0.7134416543574594,0.8746312684365781,0.8160606969096766,0.001628889872859076,0.7482571649883811,0.8465381870092792,0.8681710300450082,0.001436110610639135,0.8051094301255212,0.8981821588388823
XGBoost,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8095584492033989,0.001155127868309329,0.758493353028065,0.847970479704797,0.7959789493700387,0.00045184015676893226,0.7734375,0.8186738836265224,0.8317063393506838,0.0037940985241608958,0.7311669128508124,0.8936484490398818,0.8128812680655632,0.0015077751201704312,0.7517084282460137,0.8545197740112995,0.8840099772206373,0.0007759011291512515,0.8440443436919769,0.9138878358888554
